ShipmentID,OrderID,Order#,SKU,ItemDescription,UnitPrice,Quantity,ExtendedPrice,ShipDate,StoreName,Carrier,Provider,Service,Tracking#,Warehouse
"153703360","284179237","862856","17612","FREE CASE- OraCare Health Rinse","0.00","1","0.00","5/7/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","381134231475","Axiom"
"153703770","284172608","862876","17612","FREE CASE- OraCare Health Rinse","0.00","1","0.00","5/7/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","381134260059","Axiom"
"153870904","284083398","862856","17612","OraCare Health Rinse (Case of 8)","254.00","5","1270.00","5/8/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","381165131221","Axiom"
"151447385","280209902","862507","17612","OraCare Health Rinse (Case of 8)","254.00","1","254.00","4/22/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","380722750551","Axiom"
"153703760","284171786","862876","17612","OraCare Health Rinse (Case of 8)","254.00","6","1524.00","5/7/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","381134256148","Axiom"
"153703727","284171783","862877","17612","OraCare Health Rinse (Case of 8)","254.00","2","508.00","5/7/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","381134254215","Axiom"
"153703713","284171781","862878","17612","OraCare Health Rinse (Case of 8)","254.00","5","1270.00","5/7/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","381134249308","Axiom"
"151447431","280158344","862496","17612","OraCare Health Rinse (Case of 8)","254.00","5","1270.00","4/22/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","380722756387","Axiom"
"153703628","284151345","862872","17612","FREE CASE- OraCare Health Rinse","0.00","1","0.00","5/7/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","381134248058","Axiom"
"151277489","280126653","862491","17612","OraCare Health Rinse (Case of 8)","254.00","1","254.00","4/21/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","380691682003","Axiom"
"151277483","280126650","862493","17612","OraCare Health Rinse (Case of 8)","254.00","1","254.00","4/21/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","380691683385","Axiom"
"151277475","280126646","862492","17612","OraCare Health Rinse (Case of 8)","254.00","1","254.00","4/21/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","380691683477","Axiom"
"151277468","280126641","862489","17612","OraCare Health Rinse (Case of 8)","254.00","5","1270.00","4/21/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","380691678618","Axiom"
"153557877","284141795","862852","17612","Case(s) of OraCare™ Oral Health Rinse","0.00","40","0.00","5/6/2026","XCart - Oracare","FedEx","FedEx","Ground","381108278914","Axiom"
"151277399","280126636","862489","17612","OraCare Health Rinse (Case of 8)","0.00","1","0.00","4/21/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","380691675538","Axiom"
"151277535","280109747","862481","17612","FREE CASE- OraCare Health Rinse","0.00","2","0.00","4/21/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","380691687347","Axiom"
"151277423","280077236","862483","17612","OraCare Health Rinse (Case of 8)","254.00","1","254.00","4/21/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","380691676590","Axiom"
"151277652","280076422","862482","17612","OraCare Health Rinse (Case of 8)","254.00","12","3048.00","4/21/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","380691694875","Axiom"
"151277579","280076176","862482","17612","OraCare Health Rinse (Case of 8)","0.00","3","0.00","4/21/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","380691693320","Axiom"
"151277442","280025621","862474","17612","OraCare Health Rinse (Case of 8)","254.00","1","254.00","4/21/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","380691679224","Axiom"
"151277514","279973639","862473","17612","OraCare Health Rinse (Case of 8)","254.00","1","254.00","4/21/2026","BigCommerce - Oracare","FedEx","FedEx","2day","380691685594","Axiom"
"151277422","279943094","862472","17612","OraCare Health Rinse (Case of 8)","254.00","4","1016.00","4/21/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","380691675398","Axiom"
"151277537","279943093","862471","17612","OraCare Health Rinse (Case of 8)","228.60","4","914.40","4/21/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","380691686557","Axiom"
"151277497","279943092","862469","17612","OraCare Health Rinse (Case of 8)","254.00","1","254.00","4/21/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","380691686009","Axiom"
"151277486","279943090","862470","17612","OraCare Health Rinse (Case of 8)","228.60","5","1143.00","4/21/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","380691675240","Axiom"
"151277443","279943089","862470","17612","OraCare Health Rinse (Case of 8)","0.00","1","0.00","4/21/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","380691678066","Axiom"
"151277415","279885308","862466","17612","OraCare Health Rinse (Case of 8)","254.00","1","254.00","4/21/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","380691677059","Axiom"
"153703385","284084086","862856","17612","FREE CASE- OraCare Health Rinse","0.00","1","0.00","5/7/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","381134231707","Axiom"
"153703361","284083400","862855","17612","OraCare Health Rinse (Case of 8)","254.00","1","254.00","5/7/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","381134231306","Axiom"
"153703350","284068707","862854","17612","FREE CASE- OraCare Health Rinse","0.00","1","0.00","5/7/2026","BigCommerce - Oracare","FedEx","FedEx","Ground","381134229604","Axiom"
